2024-12-24 11:39:15.763  INFO 13572 --- [main] com.cmd.excel.CmdAppApplication          : Started CmdAppApplication in 5.242 seconds (JVM running for 5.557)
2024-12-24 11:40:59.489  INFO 13572 --- [http-nio-9090-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-24 11:40:59.489  INFO 13572 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-24 11:40:59.491  INFO 13572 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2024-12-24 11:40:59.637  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:40:59.637  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:40:59.639  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:40:59.639  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:41:44.536  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:41:44.537  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:41:44.538  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:41:44.538  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:42:07.646  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:42:07.647  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:42:07.648  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:42:07.648  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:42:11.678  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:42:11.679  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:42:11.680  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:42:11.680  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:42:11.681  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Check delete flag
2024-12-24 11:42:11.681  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Checking user exists
2024-12-24 11:42:11.709  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Getting user details
2024-12-24 11:42:13.523  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Checking user details contains user id
2024-12-24 11:42:13.614  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Login successfull
2024-12-24 11:42:13.615  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : test User logged in successfully
2024-12-24 11:42:13.616  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : test User logged in successfully
2024-12-24 11:42:13.695  INFO 13572 --- [http-nio-9090-exec-7] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:42:37.453  INFO 13572 --- [http-nio-9090-exec-8] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:42:42.213  INFO 13572 --- [http-nio-9090-exec-9] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:42:57.704  INFO 13572 --- [http-nio-9090-exec-10] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:01.907  INFO 13572 --- [http-nio-9090-exec-1] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:12.897  INFO 13572 --- [http-nio-9090-exec-2] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:18.166  INFO 13572 --- [http-nio-9090-exec-3] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:23.645  INFO 13572 --- [http-nio-9090-exec-5] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:25.692  INFO 13572 --- [http-nio-9090-exec-4] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:30.737  INFO 13572 --- [http-nio-9090-exec-6] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:38.220  INFO 13572 --- [http-nio-9090-exec-7] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:39.121  INFO 13572 --- [http-nio-9090-exec-8] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:43:41.419  INFO 13572 --- [http-nio-9090-exec-9] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:44:03.521  INFO 13572 --- [http-nio-9090-exec-10] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:44:12.215  INFO 13572 --- [http-nio-9090-exec-1] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:44:22.701  INFO 13572 --- [http-nio-9090-exec-2] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:44:25.732  INFO 13572 --- [http-nio-9090-exec-3] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:44:29.647  INFO 13572 --- [http-nio-9090-exec-5] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:44:33.891  INFO 13572 --- [http-nio-9090-exec-4] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:24.196  INFO 13572 --- [http-nio-9090-exec-6] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:31.426  INFO 13572 --- [http-nio-9090-exec-7] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:34.842  INFO 13572 --- [http-nio-9090-exec-8] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:39.797  INFO 13572 --- [http-nio-9090-exec-9] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:44.849  INFO 13572 --- [http-nio-9090-exec-10] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:54.467  INFO 13572 --- [http-nio-9090-exec-1] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:45:57.842  INFO 13572 --- [http-nio-9090-exec-2] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:13.853  INFO 13572 --- [http-nio-9090-exec-3] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:18.144  INFO 13572 --- [http-nio-9090-exec-5] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:27.304  INFO 13572 --- [http-nio-9090-exec-4] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:39.243  INFO 13572 --- [http-nio-9090-exec-6] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:43.102  INFO 13572 --- [http-nio-9090-exec-7] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:53.557  INFO 13572 --- [http-nio-9090-exec-8] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:46:59.194  INFO 13572 --- [http-nio-9090-exec-9] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:01.754  INFO 13572 --- [http-nio-9090-exec-10] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:02.772  INFO 13572 --- [http-nio-9090-exec-1] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:16.453  INFO 13572 --- [http-nio-9090-exec-2] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:18.254  INFO 13572 --- [http-nio-9090-exec-3] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:20.507  INFO 13572 --- [http-nio-9090-exec-5] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:31.218  INFO 13572 --- [http-nio-9090-exec-4] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:47:57.019  INFO 13572 --- [http-nio-9090-exec-6] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:48:21.277  INFO 13572 --- [http-nio-9090-exec-7] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
2024-12-24 11:48:24.457  INFO 13572 --- [http-nio-9090-exec-8] c.c.excel.service.UserManagementService  : ALL Role s Fetched Successfully
